año,anos_escolaridad_esp,gasto_educacion,gasto_salud,indice_gini,inflacion,ingreso_per_capita_ppp,pib_por_trabajador,pob_desocupada,pob_ocupada,poblacion_total,tasa_actividad_laboral,tasa_alfabetizacion,tasa_desempleo,tasa_pobreza
2005,12.79952,4.63395023345947,5.58110142,50.9,3.98805714597437,13070.0,51482.2275084692,4320762.0,11547549.25,105811504.0,62.897,91.629997253418,3.558,43.2
2006,12.91389,4.49317979812622,5.40647888,49.7,3.62946762439132,14320.0,52199.8200822523,4969618.25,11518007.75,107253666.0,63.775,91.7300033569336,3.566,43.2
2007,13.03226,4.47919988632202,5.50668049,50.25,3.96684905458235,14790.0,52168.9934640244,5062214.0,11772820.5,108774360.0,63.911,92.8000030517578,3.628,43.2
2008,13.20758,4.60607004165649,5.44587374,50.8,5.12498274575896,15470.0,51927.9663441561,5064735.0,12060498.5,110374288.0,63.616,92.9300003051758,3.874,43.2
2009,13.2684,4.94934988021851,5.84786463,49.25,5.29735584228856,14960.0,48458.7337019965,4478730.25,12604210.0,111999721.0,63.615,93.4400024414062,5.356,43.2
2010,13.39921,4.93697023391724,5.4897337,47.7,4.15672722680174,15730.0,49942.8563949753,3941441.0,12681009.0,113623895.0,63.483,93.0699996948242,5.303,43.2
2011,13.44376,4.9040699005127,5.30093002,48.650000000000006,3.40737824605742,17010.0,50469.7074811235,3953007.25,13237458.25,115243504.0,63.729,93.5199966430664,5.175,43.2
2012,13.70121,4.88349008560181,5.42140484,49.6,4.11150981070289,17630.0,50566.2667161175,3852480.75,13734768.75,116818208.0,64.499,94.2300033569336,4.892,43.2
2013,13.87196,4.50858020782471,5.5773263,49.25,3.80639069747204,17640.0,50273.1391712408,3614246.75,13690484.0,118343573.0,64.355,93.9599990844727,4.921,43.2
2014,14.04315,5.06807994842529,5.35336781,48.9,4.01861608078679,18370.0,51083.6659550737,3301057.25,13327278.75,119784261.0,63.801,94.5599975585938,4.819,43.2
2015,14.19681,5.05087995529175,5.52738619,47.9,2.72064064964023,18590.0,51302.9423600162,3215079.0,13644057.0,121072306.0,63.861,94.4700012207031,4.311,43.2
2016,14.63751,4.75795984268188,5.38499022,46.9,2.8217078474766,19580.0,51285.0581960894,3040362.25,13786566.75,122251351.0,63.846,94.8600006103516,3.853,43.2
2017,14.80978,4.39752006530762,5.3117938,46.45,6.04145724018986,19970.0,51419.0082607749,2643290.5,13920019.75,123400057.0,63.694,94.9700012207031,3.419,42.55
2018,14.86537,4.13944005966187,5.23821402,46.0,4.89935015356551,20380.0,51377.9719535484,2385536.25,14541229.25,124573711.0,63.995,95.379997253418,3.275,41.9
2019,14.86537,4.319550037384035,5.3013463,45.3,3.63596142127046,20370.0,49950.1181396383,1851650.25,15097449.75,125762982.0,64.859,95.3889403219417,3.477,42.9
2020,14.86537,4.4996600151062,6.05248594,44.6,3.39683415570006,18730.0,49432.4171134058,1465334.3333333333,14521407.0,126799054.0,60.241,95.25,4.44,43.9
2021,14.86537,4.23823976516724,5.87678003,44.05,5.68920847683753,20250.0,48605.8099782625,1241314.5,15739345.5,127648148.0,64.006,95.6890981310362,4.019,40.099999999999994
2022,14.86537,4.05987977981567,5.70919704,43.5,7.8962761916855,22600.0,48576.7972476541,855490.5,16232844.5,128613117.0,65.113,95.120002746582,3.256,36.3
2023,14.86537,4.05987977981567,5.50398684,43.05,5.52796087314389,24620.0,48622.612797369,742043.25,16634944.0,129739759.0,66.026,95.8346901734281,2.765,32.95
2024,14.86537,4.05987977981567,5.50398684,42.6,4.72225588452932,25460.0,48670.8873653426,681394.0,16725464.5,130861007.0,66.141,95.5500030517578,2.678,29.6
2025,14.86537,4.05987977981567,5.50398684,42.6,4.72225588452932,25460.0,48670.8873653426,519169.5,17355009.75,130861007.0,66.264,95.5500030517578,2.673,29.6
